# OpenScale raw session
# started_at_utc,2026-06-09T09:52:05.837219+00:00
# started_at_unix,1780998725.837219
# port,/dev/ttyUSB0
# baudrate,115200
timestamp_unix,timestamp_utc,elapsed_s,raw_text,value_kg,unit,is_numeric
1780998735.777285,2026-06-09T09:52:15.777285+00:00,9.940067,"2.701,kg,",2.701000,kg,1
1780998735.791958,2026-06-09T09:52:15.791958+00:00,9.954739,"2.722,kg,",2.722000,kg,1
1780998735.824024,2026-06-09T09:52:15.824024+00:00,9.986805,"2.762,kg,",2.762000,kg,1
1780998735.840012,2026-06-09T09:52:15.840012+00:00,10.002793,"2.790,kg,",2.790000,kg,1
1780998735.873621,2026-06-09T09:52:15.873621+00:00,10.036402,"2.818,kg,",2.818000,kg,1
1780998735.904068,2026-06-09T09:52:15.904068+00:00,10.066849,"2.891,kg,",2.891000,kg,1
1780998735.920608,2026-06-09T09:52:15.920608+00:00,10.083389,"3.021,kg,",3.021000,kg,1
1780998735.952129,2026-06-09T09:52:15.952129+00:00,10.114910,"3.052,kg,",3.052000,kg,1
1780998735.971141,2026-06-09T09:52:15.971141+00:00,10.133922,"3.009,kg,",3.009000,kg,1
1780998736.000238,2026-06-09T09:52:16.000238+00:00,10.163019,"3.066,kg,",3.066000,kg,1
1780998736.018452,2026-06-09T09:52:16.018452+00:00,10.181234,"3.108,kg,",3.108000,kg,1
1780998736.048147,2026-06-09T09:52:16.048147+00:00,10.210928,"2.999,kg,",2.999000,kg,1
1780998736.080123,2026-06-09T09:52:16.080123+00:00,10.242904,"3.073,kg,",3.073000,kg,1
1780998736.096148,2026-06-09T09:52:16.096148+00:00,10.258929,"3.252,kg,",3.252000,kg,1
1780998736.128713,2026-06-09T09:52:16.128713+00:00,10.291495,"3.266,kg,",3.266000,kg,1
1780998736.144172,2026-06-09T09:52:16.144172+00:00,10.306953,"3.202,kg,",3.202000,kg,1
1780998736.178609,2026-06-09T09:52:16.178609+00:00,10.341390,"3.305,kg,",3.305000,kg,1
1780998736.192245,2026-06-09T09:52:16.192245+00:00,10.355026,"3.222,kg,",3.222000,kg,1
1780998736.226872,2026-06-09T09:52:16.226872+00:00,10.389653,"3.006,kg,",3.006000,kg,1
1780998736.256297,2026-06-09T09:52:16.256297+00:00,10.419078,"2.891,kg,",2.891000,kg,1
